Name,Category,Address,Phone,Website,Email,Services (Gemini)
G.T.N. Arts College (Autonomous),College,"Karur Rd, N.S.Nagar, Dindigul, Tamil Nadu 624005, India",+91 97918 77074,http://www.gtnarts.org/,N/A,N/A
"Sacred Heart College of Arts and Science, Dindigul,tamilnadu",College,"RMTC Colony, Reddiapatti, Tamil Nadu 624003, India",+91 99421 84696,http://shcdgl.com/,N/A,N/A
RVS College of Engineering and Technology,College,"C294+QJR, SH74, RVS Nagar, Dindigul, Tamil Nadu 624005, India",+91 4551 227 229,http://www.rvseng.ac.in/,N/A,N/A
"University College Of Engineering,Dindigul",Educational institution,"Kothapulli, Silvarpatti, Tamil Nadu 624709, India",+91 451 255 0466,http://www.auucedgl.ac.in/,N/A,N/A
M.V.MUTHIAH GOVERNMENT ARTS COLLEGE FOR WOMEN,College,"ஆர் எம் காலனி1stகிராஸ், முத்தையா பிள்ளை காலேஜ், Meenachinayakkanpatti, Dindigul, Tamil Nadu 624001, India",+91 451 246 0120,http://mvmwgacdgl.ac.in/,principal@mvmwgacdgl.ac.in,N/A
SSM Institute of Engineering and Technology,Engineering school,"SSM Institute of Engineering and Technology,, Dindigul-Palani Highway,, Dindigul, Tamil Nadu 624002, India",+91 451 244 8800,https://ssmiet.ac.in/,N/A,N/A
Parvathy's Arts and Science College,College,"82/7, Wisdom City Madurai Road, Begampur(PO, Tamil Nadu 624002, India",+91 96777 02015,http://www.pasc.edu.in/,principalparvathy@gmail.comFrequently,N/A
SBM COLLEGE OF ENGINEERING & TECHNOLOGY,College,"Trichy Road -5, SBM Nagar, ThamaraiPadi, Dindigul, Tamil Nadu 624005, India",+91 98424 90901,N/A,N/A,N/A
Rama prabha Arts and Science College,College,"82MJ+F2F, Tamil Nadu 624304, India",N/A,N/A,N/A,N/A
Anugraha College,College,"anugraha Institute of Social Sciences, Nochiodaipatti,, Dindigul, Tamil Nadu 624003, India",+91 451 255 0105,http://anugrahacollege.edu.in/,anugrahacollege.edu@gmail.com,N/A
Bon Secours Arts And Science College,College,"9X27+FG6, Begambur, Tamil Nadu 624002, India",+91 63827 12457,https://bonsecoursdindigul.edu.in/,N/A,N/A
Anna University Dindigul,College,"CVFM+3RQ, Silvarpatti, Tamil Nadu 624709, India",N/A,N/A,N/A,N/A
Sri Hayagreeva Arts and Science College,College,"Mettur Gate, NH-7 Madurai, Dindigul Main Rd, Dindigul, Tamil Nadu 624206, India",+91 91505 91105,N/A,N/A,N/A
Kandhi Gramam College,Government college,"Chennai Teni Hwy Trichy Dindugal Rd, New Agraharam, Karunanidhi Nagar, Dindigul, Tamil Nadu 624001, India",N/A,N/A,N/A,N/A
Sri Sai Bharath College of Education,College,"Oddanchatram-vedasandhur Highway Sulrembu Post, Vedasandur, Tamil Nadu 624710, India",+91 85080 60533,http://www.srisaibharathgroup.org/,N/A,N/A
The Gandhigram Rural Institute-Deemed to be University,University,"7WHM+PRH, Gandhigram, Chinnalapatti, Tamil Nadu 624302, India",+91 451 245 2371,http://www.ruraluniv.ac.in/,grucc@ruraluniv.ac.in,N/A
SBM Polytechnic College,College,"T.N.Paraipatty Pirivu, Thamaraipadi Trichy Road -5, SBM Nagar, Dindigul, Tamil Nadu 624005, India",+91 98424 90901,https://www.sbmpolytechniccollege.com/,583sbm@gmail.com,N/A
